Gender,Dependent_Count,Marital_Status,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Amt_Chng_Q4_Q1,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Attrition_Flag
F,4,Married,Blue,2,2,3,0.735,48,0.92,Attrited Customer
F,3,Single,Blue,3,3,3,0.293,32,0.455,Attrited Customer
F,2,Single,Blue,5,0,3,0.823,43,0.654,Attrited Customer
F,1,Married,Blue,6,3,3,0.868,47,0.469,Attrited Customer
F,2,Single,Blue,4,3,3,0.506,37,0.423,Attrited Customer
F,3,Single,Blue,3,3,3,0.382,40,0.333,Attrited Customer
F,2,Married,Blue,2,2,2,0.717,37,0.321,Attrited Customer
F,3,Married,Blue,1,4,2,0.756,35,0.522,Attrited Customer
F,3,Single,Blue,3,2,6,0.597,48,0.548,Attrited Customer
F,1,Married,Blue,4,3,6,0.722,35,0.522,Attrited Customer
M,3,Married,Blue,2,2,2,0.549,63,0.75,Attrited Customer
F,2,Married,Blue,5,3,3,0.718,40,0.429,Attrited Customer
M,3,Married,Blue,2,2,5,0.637,39,0.345,Attrited Customer
M,2,Married,Blue,2,2,3,0.531,17,0.133,Attrited Customer
F,4,Single,Blue,2,2,3,0.445,43,0.387,Attrited Customer
F,2,Unknown,Blue,2,3,3,0.89,78,0.733,Attrited Customer
F,1,Single,Blue,6,6,3,0.562,45,0.607,Attrited Customer
M,1,Single,Blue,4,3,3,0.711,42,0.273,Attrited Customer
M,2,Single,Blue,4,3,1,0.713,64,0.882,Attrited Customer
M,2,Single,Blue,1,2,2,0.65,37,0.542,Attrited Customer
F,3,Married,Blue,6,3,3,0.645,47,0.469,Attrited Customer
M,1,Married,Blue,6,1,5,1.036,66,0.65,Attrited Customer
F,4,Married,Blue,3,2,3,0.863,35,0.346,Attrited Customer
F,3,Single,Silver,4,2,3,0.602,46,0.586,Attrited Customer
F,1,Married,Blue,4,3,6,0.722,35,0.522,Attrited Customer
F,4,Married,Blue,5,3,5,0.513,57,0.541,Attrited Customer
F,1,Married,Blue,2,4,3,0.788,49,0.581,Attrited Customer
M,2,Single,Blue,5,3,2,0.528,40,0.481,Attrited Customer
F,0,Married,Blue,2,3,2,0.848,73,0.825,Attrited Customer
F,2,Married,Blue,2,4,3,0.707,27,0.421,Attrited Customer
F,3,Unknown,Blue,5,1,3,0.689,48,0.6,Attrited Customer
F,1,Single,Gold,3,2,1,0.925,64,0.684,Attrited Customer
F,1,Married,Blue,5,3,2,0.885,35,0.296,Attrited Customer
M,0,Divorced,Blue,2,3,2,0.929,85,0.809,Attrited Customer
F,1,Married,Blue,3,3,4,0.508,47,0.567,Attrited Customer
M,2,Married,Blue,2,2,2,0.969,48,0.6,Attrited Customer
F,3,Single,Blue,6,3,5,0.636,45,0.667,Attrited Customer
F,0,Single,Blue,6,3,5,0.935,29,0.526,Attrited Customer
M,3,Divorced,Blue,6,3,3,0,23,0,Attrited Customer
F,4,Single,Blue,6,4,3,0.547,44,0.419,Attrited Customer
F,3,Single,Blue,1,3,3,0.762,49,0.96,Attrited Customer
F,5,Single,Blue,1,4,1,1.014,45,0.607,Attrited Customer
M,0,Married,Blue,1,2,2,0.799,71,1.152,Attrited Customer
M,3,Married,Blue,5,2,2,0.628,42,0.448,Attrited Customer
F,5,Single,Blue,1,2,4,0.551,46,0.484,Attrited Customer
F,1,Single,Blue,4,3,6,0.976,80,0.778,Attrited Customer
F,3,Single,Blue,6,2,3,0.752,35,0.458,Attrited Customer
M,2,Single,Blue,4,2,4,0.878,64,1.207,Attrited Customer
F,0,Single,Blue,3,2,5,0.69,46,0.586,Attrited Customer
M,2,Married,Blue,3,3,3,0.76,62,0.55,Attrited Customer
F,2,Unknown,Blue,2,3,2,0.51,48,0.548,Attrited Customer
M,0,Married,Blue,6,2,4,0.776,70,0.707,Attrited Customer
M,3,Married,Blue,2,3,4,0.615,56,0.697,Attrited Customer
M,3,Single,Blue,2,2,4,0.729,45,0.552,Attrited Customer
F,0,Single,Blue,3,1,4,0.663,47,0.469,Attrited Customer
M,2,Married,Blue,1,3,3,0.429,44,0.517,Attrited Customer
F,4,Unknown,Blue,4,2,3,0.738,46,0.484,Attrited Customer
M,2,Single,Blue,1,3,2,0.429,56,0.697,Attrited Customer
M,4,Single,Blue,3,4,3,0.456,51,0.645,Attrited Customer
F,3,Single,Blue,4,3,2,0.702,51,0.7,Attrited Customer
F,2,Married,Blue,6,2,2,0.876,41,0.64,Attrited Customer
F,2,Married,Blue,5,2,3,0.563,39,0.345,Attrited Customer
F,1,Married,Blue,4,3,3,0.874,45,0.452,Attrited Customer
M,3,Married,Blue,3,5,3,1.084,51,0.545,Attrited Customer
M,1,Single,Blue,5,3,3,0.933,59,0.372,Attrited Customer
F,0,Divorced,Blue,3,6,3,1.016,27,0.286,Attrited Customer
F,0,Single,Blue,3,6,3,1.015,32,0.455,Attrited Customer
M,3,Married,Blue,4,2,3,0.85,54,0.742,Attrited Customer
F,4,Single,Blue,3,2,4,0.684,43,0.483,Attrited Customer
M,3,Married,Blue,6,3,5,0.401,18,0.2,Attrited Customer
F,2,Married,Silver,6,2,4,0.703,61,0.649,Attrited Customer
F,2,Divorced,Blue,3,3,4,0.553,47,0.621,Attrited Customer
F,3,Unknown,Blue,3,2,1,0.413,40,0.429,Attrited Customer
F,3,Married,Blue,3,3,3,0.873,62,0.722,Attrited Customer
M,0,Single,Blue,5,2,4,0.544,20,0.176,Attrited Customer
F,4,Married,Blue,5,3,1,0.826,30,0.304,Attrited Customer
F,2,Married,Blue,2,3,2,0.957,51,0.821,Attrited Customer
F,2,Single,Blue,5,3,6,0.74,39,0.444,Attrited Customer
M,2,Single,Blue,2,1,3,0.379,35,0.25,Attrited Customer
M,4,Married,Blue,4,3,5,0.642,41,0.519,Attrited Customer
F,2,Married,Blue,4,2,3,0.695,56,0.806,Attrited Customer
F,2,Single,Blue,2,3,0,0.889,45,0.406,Attrited Customer
M,0,Divorced,Blue,2,3,2,0.929,85,0.809,Attrited Customer
M,3,Married,Blue,1,3,2,1.004,75,0.786,Attrited Customer
F,2,Married,Blue,3,3,2,0.061,42,0.077,Attrited Customer
M,1,Single,Blue,1,3,2,0.544,51,0.5,Attrited Customer
F,4,Single,Blue,2,2,3,1.411,65,0.711,Attrited Customer
F,1,Married,Blue,4,2,4,0.571,36,0.333,Attrited Customer
F,1,Single,Blue,3,3,4,0.729,43,0.483,Attrited Customer
F,3,Married,Blue,1,3,4,0.801,37,0.37,Attrited Customer
M,5,Married,Blue,2,2,2,0.586,41,0.864,Attrited Customer
M,2,Divorced,Blue,3,4,4,1.014,27,0.35,Attrited Customer
F,3,Married,Blue,4,3,2,0.713,32,0.778,Attrited Customer
F,2,Married,Blue,2,4,2,0.862,66,1.062,Attrited Customer
M,0,Single,Silver,2,4,4,0.416,43,0.536,Attrited Customer
M,1,Unknown,Blue,1,1,2,0.583,65,0.548,Attrited Customer
F,2,Married,Blue,3,2,4,0.756,39,0.696,Attrited Customer
F,4,Married,Blue,1,3,2,0.453,46,0.314,Attrited Customer
F,1,Unknown,Blue,2,3,2,0.896,42,0.556,Attrited Customer
M,3,Single,Gold,4,3,3,0.978,63,0.75,Attrited Customer
F,2,Unknown,Blue,4,2,2,0.349,61,0.694,Attrited Customer
F,2,Married,Blue,5,2,4,0.66,41,0.464,Attrited Customer
F,3,Married,Blue,2,2,2,0.061,42,0.105,Attrited Customer
F,1,Single,Blue,1,4,4,0.703,50,1.083,Attrited Customer
F,0,Married,Blue,2,3,2,0.443,38,0.357,Attrited Customer
F,4,Married,Blue,5,3,3,0.6,47,0.621,Attrited Customer
F,4,Single,Blue,5,3,3,0.707,40,0.429,Attrited Customer
M,1,Married,Blue,4,2,3,0.769,44,0.294,Attrited Customer
F,0,Single,Blue,3,1,4,0.663,47,0.469,Attrited Customer
F,1,Single,Blue,3,3,4,0.747,50,0.562,Attrited Customer
F,2,Married,Blue,6,2,3,0.714,34,0.417,Attrited Customer
F,2,Single,Blue,3,3,1,0.783,43,0.433,Attrited Customer
F,0,Married,Blue,6,2,3,0.94,20,0.818,Attrited Customer
M,2,Married,Blue,1,3,3,1.041,15,0.364,Attrited Customer
F,4,Married,Blue,6,2,2,0.491,21,0.235,Attrited Customer
M,3,Married,Blue,2,2,6,0.915,57,0.676,Attrited Customer
F,3,Married,Blue,3,2,3,0.735,37,0.48,Attrited Customer
M,0,Single,Blue,1,1,3,1.045,65,0.806,Attrited Customer
F,4,Married,Blue,3,3,3,0.449,37,0.37,Attrited Customer
F,4,Single,Blue,5,2,4,0.777,44,0.375,Attrited Customer
F,2,Divorced,Blue,6,2,3,0.53,44,0.63,Attrited Customer
F,1,Married,Blue,3,3,3,0.403,43,0.303,Attrited Customer
F,1,Unknown,Blue,1,2,3,0.718,54,0.688,Attrited Customer
F,4,Single,Platinum,5,3,4,0.827,71,0.69,Attrited Customer
M,2,Married,Blue,3,3,3,0.688,24,0.5,Attrited Customer
F,5,Divorced,Blue,6,4,2,0.516,39,0.625,Attrited Customer
F,2,Married,Blue,2,2,4,0.563,32,0.778,Attrited Customer
F,0,Divorced,Blue,3,2,6,0.466,41,0.64,Attrited Customer
F,2,Married,Blue,4,3,4,0.87,39,0.444,Attrited Customer
F,1,Divorced,Blue,3,3,1,1.001,37,0.85,Attrited Customer
F,2,Single,Blue,2,1,2,0.882,43,0.433,Attrited Customer
M,0,Married,Blue,5,1,3,0.825,44,0.467,Attrited Customer
F,2,Unknown,Blue,1,2,3,0.714,48,0.846,Attrited Customer
F,2,Single,Blue,1,3,5,0.528,45,0.5,Attrited Customer
F,4,Single,Blue,5,3,2,0.688,44,0.467,Attrited Customer
F,2,Married,Blue,1,3,1,0.613,42,0.312,Attrited Customer
M,3,Married,Blue,5,2,2,0.628,42,0.448,Attrited Customer
M,3,Single,Blue,1,2,3,0.408,43,0.344,Attrited Customer
F,3,Single,Blue,3,3,3,0.293,32,0.455,Attrited Customer
M,5,Single,Gold,2,3,4,0.465,35,0.458,Attrited Customer
M,5,Married,Blue,6,2,4,0.808,43,0.483,Attrited Customer
F,3,Single,Blue,2,2,3,0.931,32,0.778,Attrited Customer
M,2,Married,Blue,3,2,4,0.519,48,0.846,Attrited Customer
F,3,Unknown,Blue,2,3,2,0.906,29,0.526,Attrited Customer
M,2,Married,Blue,2,3,3,0.568,15,0.5,Attrited Customer
M,1,Married,Blue,3,2,3,0.749,18,0.5,Attrited Customer
F,2,Married,Blue,3,3,3,0.703,43,0.536,Attrited Customer
F,4,Married,Gold,2,3,3,0.196,61,0.605,Attrited Customer
F,1,Unknown,Blue,4,2,2,0.865,36,0.333,Attrited Customer
F,4,Divorced,Blue,4,3,3,0.651,53,0.71,Attrited Customer
M,3,Married,Blue,1,2,5,0.222,57,0.357,Attrited Customer
M,4,Married,Blue,4,3,5,0.642,41,0.519,Attrited Customer
F,3,Married,Blue,2,3,3,0.544,41,0.464,Attrited Customer
F,3,Married,Blue,3,2,3,0.735,37,0.48,Attrited Customer
F,2,Married,Blue,4,6,5,0.699,40,0.6,Attrited Customer
M,3,Married,Blue,2,2,3,0.857,37,0.542,Attrited Customer
F,4,Married,Blue,3,2,3,0.863,35,0.346,Attrited Customer
F,4,Unknown,Blue,5,3,3,1.047,63,0.853,Attrited Customer
M,2,Married,Blue,1,2,5,0.569,42,0.556,Attrited Customer
M,2,Married,Blue,6,2,3,1.049,90,0.837,Attrited Customer
F,2,Married,Blue,2,3,2,0.957,51,0.821,Attrited Customer
F,1,Single,Blue,1,5,2,0.596,45,0.731,Attrited Customer
M,3,Unknown,Blue,2,3,2,0.945,54,0.5,Attrited Customer
F,4,Married,Blue,5,2,4,0.2,39,0.5,Attrited Customer
F,3,Single,Blue,5,3,1,0.737,54,0.385,Attrited Customer
F,4,Unknown,Blue,4,2,3,0.738,46,0.484,Attrited Customer
M,2,Single,Blue,2,6,4,0.592,46,0.586,Attrited Customer
M,0,Unknown,Blue,3,2,3,0.835,22,1.444,Attrited Customer
M,3,Unknown,Blue,2,2,6,0.464,44,0.333,Attrited Customer
M,1,Single,Blue,6,1,3,0.851,78,0.773,Attrited Customer
F,4,Single,Blue,6,3,3,0.652,66,0.692,Attrited Customer
M,1,Single,Blue,4,3,2,0.734,41,0.519,Attrited Customer
F,3,Single,Blue,4,3,0,0.775,40,0.6,Attrited Customer
M,4,Married,Gold,4,3,2,0.841,66,0.65,Attrited Customer
F,4,Married,Blue,5,3,5,0.513,57,0.541,Attrited Customer
M,4,Single,Blue,6,3,3,0.918,68,0.744,Attrited Customer
F,5,Married,Blue,4,3,2,0.38,45,0.364,Attrited Customer
M,2,Single,Gold,2,3,3,1.015,57,0.295,Attrited Customer
M,2,Married,Blue,3,2,3,0.393,21,0.167,Attrited Customer
M,4,Married,Blue,2,3,2,0.64,47,0.382,Attrited Customer
F,2,Unknown,Blue,5,3,2,0.449,48,0.5,Attrited Customer
F,3,Married,Blue,3,3,2,0.502,28,0.556,Attrited Customer
F,2,Single,Blue,2,1,2,0.639,36,0.385,Attrited Customer
F,3,Single,Blue,3,3,4,0.627,36,0.385,Attrited Customer
M,3,Single,Blue,2,4,2,1.043,53,0.559,Attrited Customer
M,2,Single,Blue,3,3,3,0.417,45,0.406,Attrited Customer
M,2,Single,Blue,2,4,2,0.801,69,1.029,Attrited Customer
F,2,Married,Blue,5,1,3,0.986,22,0.375,Attrited Customer
M,2,Single,Blue,2,4,2,0.758,80,0.778,Attrited Customer
F,4,Married,Blue,4,4,4,0.348,28,0.273,Attrited Customer
M,1,Divorced,Blue,6,2,4,0.911,38,0.462,Attrited Customer
M,3,Married,Blue,6,3,3,0.432,35,0.591,Attrited Customer
F,3,Single,Blue,2,3,0,0.983,41,0.367,Attrited Customer
F,5,Divorced,Blue,6,4,2,0.516,39,0.625,Attrited Customer
F,1,Unknown,Blue,4,2,2,0.865,36,0.333,Attrited Customer
F,2,Single,Blue,5,3,4,0.551,42,0.556,Attrited Customer
F,3,Unknown,Blue,2,3,2,0.906,29,0.526,Attrited Customer
M,2,Married,Silver,2,4,4,0.763,15,0.5,Attrited Customer
M,3,Single,Blue,3,2,3,1.203,24,0.263,Attrited Customer
M,3,Single,Blue,3,2,4,0.807,32,0.455,Attrited Customer
M,3,Single,Blue,4,4,3,0.483,43,0.387,Attrited Customer
F,4,Married,Blue,4,3,1,0.648,34,0.478,Attrited Customer
M,3,Single,Blue,1,2,2,0.824,44,0.467,Attrited Customer
F,2,Single,Blue,3,3,1,0.783,43,0.433,Attrited Customer
F,3,Married,Silver,4,3,1,1.039,54,0.742,Attrited Customer
F,2,Divorced,Blue,2,6,3,0.707,36,0.44,Attrited Customer
M,2,Married,Gold,2,1,4,1.004,73,0.622,Attrited Customer
M,3,Married,Blue,1,2,4,0.723,36,0.714,Attrited Customer
F,4,Single,Platinum,5,3,4,0.827,71,0.69,Attrited Customer
F,2,Married,Blue,4,3,3,0.717,41,0.64,Attrited Customer
M,2,Unknown,Blue,4,1,3,0.882,63,0.703,Attrited Customer
M,1,Single,Blue,5,2,2,1.038,43,0.72,Attrited Customer
F,3,Married,Silver,5,1,3,0.506,25,0.19,Attrited Customer
M,3,Single,Blue,1,3,3,0.809,44,0.517,Attrited Customer
M,3,Married,Blue,4,4,3,0.799,35,0.591,Attrited Customer
F,1,Single,Blue,3,3,3,0.806,55,0.618,Attrited Customer
M,2,Married,Blue,2,3,3,1.041,72,0.846,Attrited Customer
M,3,Married,Blue,1,3,2,0.983,42,0.5,Attrited Customer
M,3,Married,Blue,5,0,3,0.527,41,0.414,Attrited Customer
F,4,Married,Blue,2,4,3,0.585,12,0.714,Attrited Customer
M,1,Divorced,Blue,3,4,3,0.639,39,0.56,Attrited Customer
F,1,Married,Blue,5,2,2,0.574,38,0.462,Attrited Customer
M,3,Single,Silver,4,3,4,1.007,70,0.75,Attrited Customer
F,4,Single,Blue,4,3,3,1.052,54,0.742,Attrited Customer
F,2,Married,Blue,3,3,3,1.056,40,0.481,Attrited Customer
F,1,Single,Blue,5,3,6,0.824,47,0.343,Attrited Customer
F,1,Married,Blue,3,3,3,0.485,30,0.2,Attrited Customer
F,2,Divorced,Blue,6,3,1,0.665,43,0.536,Attrited Customer
M,2,Married,Silver,2,4,4,0.763,15,0.5,Attrited Customer
M,2,Unknown,Blue,5,3,4,0.602,54,0.588,Attrited Customer
F,0,Unknown,Blue,4,3,3,0.665,49,0.581,Attrited Customer
M,5,Unknown,Blue,3,3,2,0.987,43,0.344,Attrited Customer
F,3,Divorced,Blue,5,3,1,0.949,54,1,Attrited Customer
F,3,Single,Blue,3,2,4,0.699,29,0.318,Attrited Customer
M,4,Unknown,Silver,4,2,4,0.356,43,0.387,Attrited Customer
F,4,Married,Blue,6,3,3,0.845,46,0.586,Attrited Customer
M,3,Single,Blue,1,2,3,0.28,41,0.206,Attrited Customer
F,0,Divorced,Blue,2,3,3,0.654,38,0.727,Attrited Customer
M,2,Married,Blue,1,2,4,0.841,37,0.85,Attrited Customer
M,3,Married,Blue,3,3,3,0.742,18,0.059,Attrited Customer
M,4,Single,Blue,4,2,2,0.522,51,0.594,Attrited Customer
M,3,Single,Blue,1,6,1,0.914,82,0.708,Attrited Customer
M,3,Single,Blue,5,3,2,1.039,55,0.486,Attrited Customer
F,0,Single,Blue,1,2,4,0.845,69,0.533,Attrited Customer
M,2,Unknown,Blue,4,1,3,0.882,63,0.703,Attrited Customer
M,2,Single,Blue,5,3,3,0.431,37,0.423,Attrited Customer
F,3,Married,Blue,4,2,1,0.476,49,0.324,Attrited Customer
F,1,Married,Blue,4,3,3,0.874,45,0.452,Attrited Customer
F,1,Single,Blue,4,2,2,0.344,42,0.4,Attrited Customer
F,0,Married,Blue,1,4,1,1.038,23,0.353,Attrited Customer
F,2,Married,Blue,4,3,3,0.717,41,0.64,Attrited Customer
F,3,Married,Blue,2,3,4,0.808,59,0.639,Attrited Customer
F,3,Married,Blue,3,3,3,0.507,39,0.345,Attrited Customer
F,2,Single,Blue,3,2,3,0.642,39,0.393,Attrited Customer
M,3,Married,Blue,2,3,3,0.798,11,0.833,Attrited Customer
F,0,Single,Blue,1,2,4,0.845,69,0.533,Attrited Customer
M,3,Married,Blue,2,3,4,0.862,23,0.769,Attrited Customer
M,3,Single,Blue,3,2,2,0.733,32,0.6,Attrited Customer
F,3,Divorced,Blue,3,3,3,0.409,43,0.536,Attrited Customer
M,3,Married,Blue,5,0,3,0.527,41,0.414,Attrited Customer
F,4,Married,Blue,6,2,2,0.491,21,0.235,Attrited Customer
F,4,Married,Blue,4,3,3,0.816,46,0.394,Attrited Customer
F,4,Married,Blue,2,3,3,0.917,35,0.522,Attrited Customer
F,3,Single,Blue,6,3,4,0.76,53,0.71,Attrited Customer
M,1,Married,Blue,4,3,3,0.809,73,1.028,Attrited Customer
M,2,Single,Blue,4,2,4,0.878,64,1.207,Attrited Customer
M,1,Divorced,Blue,3,4,3,0.639,39,0.56,Attrited Customer
F,0,Married,Blue,1,3,4,0.814,57,0.781,Attrited Customer
M,2,Single,Blue,2,4,4,0.598,41,0.864,Attrited Customer
F,0,Single,Blue,5,1,5,0.887,46,0.438,Attrited Customer
M,1,Single,Blue,3,4,4,0.881,35,0.591,Attrited Customer
F,4,Married,Blue,4,4,4,0.348,28,0.273,Attrited Customer
F,2,Divorced,Blue,6,2,3,0.53,44,0.63,Attrited Customer
F,4,Single,Blue,3,2,4,0.949,39,0.444,Attrited Customer
M,3,Married,Silver,1,3,4,0.902,70,1.059,Attrited Customer
F,3,Single,Blue,1,3,2,0.586,47,0.621,Attrited Customer
M,1,Single,Blue,6,2,4,0.716,43,0.593,Attrited Customer
M,2,Single,Blue,3,2,1,0.452,42,0.5,Attrited Customer
F,1,Married,Blue,2,3,2,0.999,60,0.395,Attrited Customer
M,3,Married,Blue,1,3,3,0.674,71,0.732,Attrited Customer
F,2,Unknown,Blue,2,3,2,0.588,41,0.464,Attrited Customer
F,3,Single,Silver,4,2,3,0.602,46,0.586,Attrited Customer
F,1,Married,Blue,2,4,4,0.859,37,0.423,Attrited Customer
M,3,Married,Blue,4,3,2,0.649,32,0.231,Attrited Customer
M,4,Single,Blue,1,2,4,0.865,36,0.286,Attrited Customer
F,1,Married,Blue,4,3,6,0.722,35,0.522,Attrited Customer
F,5,Single,Blue,1,4,3,0.899,74,0.682,Attrited Customer
M,2,Unknown,Blue,4,1,3,0.882,63,0.703,Attrited Customer
F,2,Married,Blue,2,3,2,0.894,46,0.394,Attrited Customer
M,4,Married,Blue,1,3,6,0.839,60,0.875,Attrited Customer
F,0,Divorced,Blue,6,3,3,0.683,43,0.536,Attrited Customer
M,3,Single,Blue,6,2,3,0.941,79,1.026,Attrited Customer
M,2,Married,Blue,6,2,4,0.324,40,0.212,Attrited Customer
F,0,Single,Blue,6,1,4,0.781,40,0.6,Attrited Customer
F,3,Unknown,Blue,5,2,2,0.601,43,0.344,Attrited Customer
M,2,Married,Blue,2,3,1,0.403,43,0.303,Attrited Customer
F,1,Single,Blue,5,0,4,0.792,42,0.448,Attrited Customer
F,4,Married,Blue,3,2,4,0.772,51,0.645,Attrited Customer
F,3,Married,Blue,6,3,4,1.049,38,0.462,Attrited Customer
M,2,Divorced,Silver,5,2,3,0.965,63,0.465,Attrited Customer
F,1,Married,Blue,5,2,3,0.854,45,0.731,Attrited Customer
M,3,Married,Blue,2,3,3,0.95,38,0.9,Attrited Customer
F,2,Married,Blue,4,2,2,0.813,60,0.818,Attrited Customer
M,2,Single,Blue,2,2,3,0.718,14,0.4,Attrited Customer
M,4,Single,Blue,3,2,6,0.908,53,0.767,Attrited Customer
F,1,Married,Blue,2,4,4,0.859,37,0.423,Attrited Customer
F,3,Married,Blue,3,3,2,0.988,27,0.929,Attrited Customer
F,2,Married,Blue,5,3,2,0.888,52,0.793,Attrited Customer
F,1,Single,Blue,3,3,2,0.718,55,0.618,Attrited Customer
M,2,Single,Blue,2,2,3,0.885,14,0.4,Attrited Customer
M,3,Married,Blue,4,2,3,0.85,54,0.742,Attrited Customer
M,0,Single,Blue,2,2,3,0.778,78,0.902,Attrited Customer
M,3,Married,Blue,2,1,2,0.233,18,0.286,Attrited Customer
F,3,Single,Blue,1,2,2,0.889,64,0.6,Attrited Customer
M,1,Single,Blue,3,2,3,1.048,25,0.562,Attrited Customer
M,3,Married,Blue,5,2,4,0.763,32,0.6,Attrited Customer
M,0,Married,Blue,3,3,3,0.738,36,0.5,Attrited Customer
M,3,Single,Blue,3,3,3,0.309,34,0.36,Attrited Customer
F,1,Single,Blue,3,2,4,0.294,41,0.242,Attrited Customer
M,2,Single,Blue,5,2,1,0.427,35,0.296,Attrited Customer
F,5,Married,Blue,5,3,3,0.686,70,0.628,Attrited Customer
F,4,Married,Blue,6,2,2,0.496,37,0.194,Attrited Customer
M,3,Married,Blue,3,4,3,0.84,46,0.438,Attrited Customer
F,4,Unknown,Blue,1,3,2,0.739,41,0.708,Attrited Customer
F,1,Divorced,Blue,4,1,3,0.503,45,0.452,Attrited Customer
M,0,Married,Blue,2,3,4,0.582,40,0.29,Attrited Customer
F,5,Married,Blue,5,3,3,0.686,70,0.628,Attrited Customer
M,4,Single,Silver,2,3,4,0.671,28,0.4,Attrited Customer
F,1,Single,Blue,1,5,2,0.596,45,0.731,Attrited Customer
M,2,Married,Blue,2,3,2,1.036,68,0.659,Attrited Customer
M,3,Married,Blue,1,3,3,0.674,71,0.732,Attrited Customer
F,1,Married,Blue,2,3,3,0.352,31,0.409,Attrited Customer
M,2,Married,Blue,5,2,3,0.517,43,0.483,Attrited Customer
F,2,Single,Blue,3,0,3,0.735,48,0.778,Attrited Customer
M,2,Single,Blue,2,3,2,0.906,51,0.7,Attrited Customer
M,4,Married,Blue,6,3,3,0.454,50,0.613,Attrited Customer
F,5,Married,Blue,3,5,3,0.752,44,0.467,Attrited Customer
M,4,Married,Blue,5,3,4,0.641,39,0.696,Attrited Customer
F,4,Divorced,Blue,3,2,3,0.685,54,0.8,Attrited Customer
F,4,Unknown,Blue,5,3,3,0.835,45,0.324,Attrited Customer
M,1,Married,Blue,2,3,1,1.038,56,0.474,Attrited Customer
F,4,Married,Blue,4,3,4,1.057,40,0.481,Attrited Customer
M,3,Married,Silver,5,3,3,0.876,71,0.868,Attrited Customer
F,2,Single,Blue,3,3,3,0.447,44,0.375,Attrited Customer
F,2,Married,Silver,6,2,4,0.703,61,0.649,Attrited Customer
M,2,Married,Blue,6,3,3,1.052,63,0.75,Attrited Customer
F,1,Married,Blue,6,4,4,0.577,39,0.696,Attrited Customer
F,2,Single,Silver,2,2,3,0.821,80,0.739,Attrited Customer
F,2,Married,Blue,5,3,3,0.718,40,0.429,Attrited Customer
M,3,Married,Blue,2,2,1,0.965,57,0.541,Attrited Customer
M,2,Married,Blue,3,4,2,0.604,35,0.667,Attrited Customer
F,3,Married,Blue,3,3,3,0.491,47,0.567,Attrited Customer
F,0,Married,Blue,4,1,3,0.703,38,0.52,Attrited Customer
M,1,Single,Blue,4,2,2,0.955,49,0.485,Attrited Customer
F,3,Married,Blue,3,3,4,0.765,50,0.316,Attrited Customer
F,1,Married,Blue,1,3,3,0.525,36,0.2,Attrited Customer
M,4,Single,Blue,3,3,4,0.584,46,0.533,Attrited Customer
F,1,Single,Blue,5,2,4,0.782,44,0.63,Attrited Customer
F,2,Married,Blue,3,3,3,0.703,43,0.536,Attrited Customer
M,1,Married,Blue,1,3,3,0.367,20,0.429,Attrited Customer
F,2,Single,Blue,1,2,4,0.465,40,0.481,Attrited Customer
M,4,Married,Blue,2,3,2,0.918,70,0.75,Attrited Customer
M,2,Unknown,Blue,2,2,3,0.462,31,0.476,Attrited Customer
F,3,Married,Blue,3,3,3,0.491,47,0.567,Attrited Customer
F,4,Married,Blue,1,3,4,0.583,39,0.147,Attrited Customer
F,4,Single,Blue,1,3,3,1.022,55,0.486,Attrited Customer
M,5,Married,Blue,2,3,5,0.713,49,0.361,Attrited Customer
M,1,Single,Blue,3,2,4,0.212,31,0.107,Attrited Customer
F,3,Unknown,Blue,3,3,4,0.499,40,0.29,Attrited Customer
M,0,Married,Blue,1,3,2,0.743,21,0.615,Attrited Customer
F,3,Married,Blue,4,2,4,0.973,44,0.222,Attrited Customer
F,5,Married,Blue,6,2,2,0.883,44,0.63,Attrited Customer
F,4,Married,Blue,6,2,3,0.706,43,0.593,Attrited Customer
M,4,Divorced,Blue,2,3,2,0.969,63,0.75,Attrited Customer
M,1,Married,Blue,5,2,3,0.792,75,0.786,Attrited Customer
F,2,Single,Blue,6,3,3,0.735,36,0.5,Attrited Customer
M,3,Married,Blue,5,1,3,1.051,74,0.85,Attrited Customer
M,1,Single,Blue,6,3,2,0.834,64,0.882,Attrited Customer
F,4,Single,Blue,6,3,3,0.978,67,0.675,Attrited Customer
F,0,Single,Blue,2,2,4,0.331,27,0.286,Attrited Customer
F,2,Married,Blue,5,2,4,0.66,41,0.464,Attrited Customer
M,3,Unknown,Blue,2,2,1,1.033,47,0.382,Attrited Customer
F,3,Divorced,Blue,5,3,1,0.949,54,1,Attrited Customer
M,1,Single,Blue,3,2,2,0.624,46,0.586,Attrited Customer
F,1,Unknown,Blue,2,3,2,0.543,39,0.444,Attrited Customer
M,3,Single,Blue,2,2,3,0.484,51,0.759,Attrited Customer
F,1,Married,Blue,5,2,3,0.854,45,0.731,Attrited Customer
F,4,Married,Gold,2,3,3,0.196,61,0.605,Attrited Customer
F,1,Single,Blue,2,3,3,0.733,81,0.884,Attrited Customer
F,2,Married,Blue,6,3,2,0.47,42,0.448,Attrited Customer
F,3,Married,Blue,3,2,3,0.765,36,0.565,Attrited Customer
F,1,Divorced,Blue,4,1,3,0.503,45,0.452,Attrited Customer
F,4,Married,Blue,1,3,4,0.583,39,0.147,Attrited Customer
